ZipCode,City,State,MedianPrice,Livability_Score,PredictedPrice,Residual
20882,Gaithersburg,MD,794367.5383841865,11.2,585269.1303439576,209098.40804022888
22643,Markham,VA,770772.8163707132,4.7,566801.0463921073,203971.7699786059
20169,Haymarket,VA,817637.1317490498,22.7,617943.4327203078,199693.69902874192
20152,Chantilly,VA,841837.3820823216,32.1,644651.1233583682,197186.2587239534
20171,Herndon,VA,817230.990299149,23.8,621068.8007736979,196162.18952545105
20137,Broad Run,VA,760907.1322135535,7.1,573620.0312358674,187287.10097768612
20860,Sandy Spring,MD,813022.9242118654,26.9,629876.6561968881,183146.26801497734
20008,Washington,DC,892732.3295210801,55.3,710567.9768480489,182164.35267303127
22102,McLean,VA,816149.3298499432,30.5,640105.1334625281,176044.19638741505
22060,Fort Belvoir,VA,797958.2408125788,26.3,628171.909985948,169786.33082663082
22030,Fairfax,VA,808508.311990626,30.8,640957.5065679981,167550.80542262795
20842,Barnesville,MD,738300.6038841297,8.6,577881.8967632174,160418.70712091227
20181,Nokesville,VA,771668.5048920683,20.6,611976.8209820178,159691.68391005055
22153,Springfield,VA,753051.192644995,15.3,596918.2294520476,156132.96319294744
20868,Spencerville,MD,771192.4359344543,24.1,621921.1738791679,149271.26205528644
20895,Kensington,MD,811380.408791245,38.3,662266.8342047484,149113.57458649657
20012,Washington,DC,819156.480537443,44.1,678746.0475771686,140410.4329602744
20837,Poolesville,MD,719859.0284143174,10.9,584416.7572384875,135442.27117582993
20180,Lovettsville,VA,752423.1055608304,22.7,617943.4327203078,134479.6728405226
22314,Alexandria,VA,848302.5506770591,57.8,717671.086060299,130631.46461676015
20187,Warrenton,VA,697743.3846371564,6.0,570494.6631824774,127248.72145467903
20194,Reston,VA,775695.7047574642,33.5,648628.8645172282,127066.84024023602
20838,Barnesville,MD,704836.6145761642,8.7,578166.0211317075,126670.5934444567
20003,Washington,DC,844935.4665539683,60.1,724205.9465355692,120729.52001839911
20151,Chantilly,VA,775975.5186491064,36.3,656584.3468349483,119391.1718141581
22003,Annandale,VA,761728.2461126256,32.0,644366.9989898782,117361.24712274736
20112,Manassas,VA,725448.7970099081,19.9,609987.9504025878,115460.84660732036
20165,Sterling,VA,736611.5429082565,24.0,621637.0495106779,114974.4933975786
20155,Gainesville,VA,740945.3131637688,25.6,626183.039406518,114762.27375725086
22305,Alexandria,VA,799612.3167343531,47.4,688122.1517373386,111490.16499701445
20136,Bristow,VA,729348.4304127136,23.5,620216.4276682279,109132.00274448562
22749,Woodville,VA,667189.7205142146,2.1,559413.8128113672,107775.90770284738
20147,Ashburn,VA,753517.4932021542,33.2,647776.4914117582,105741.00179039594
22031,Fairfax,VA,760542.787492518,36.5,657152.5955719283,103390.19192058966
21754,Ijamsville,MD,677246.4663015885,7.6,575040.6530783174,102205.81322327105
20115,Marshall,VA,667801.294121733,5.0,567653.4194975774,100147.8746241557
20120,Centreville,VA,691346.6370009243,14.7,595213.4832411077,96133.15375981666
22042,Falls Church,VA,745039.7741741311,35.9,655447.8493609882,89591.92481314286
22015,Burke,VA,727917.4306171028,30.3,639536.8847255481,88380.54589155468
22079,Lorton,VA,674261.8864573725,12.7,589530.9958713076,84730.8905860649
21710,Adamstown,MD,657775.4012298327,6.9,573051.7824988874,84723.61873094528
22307,Alexandria,VA,730456.336666572,34.7,652038.3569391082,78417.9797274638
22151,Springfield,VA,715040.2214316466,31.2,642094.0040419581,72946.21738968848
20878,Gaithersburg,MD,724845.8217955707,35.2,653458.9787815583,71386.84301401232
20850,Rockville,MD,723352.5383034283,34.8,652322.4813075983,71030.05699583003
22033,Fairfax,VA,708995.0894364341,30.7,640673.3821995081,68321.70723692595
20839,Dickerson,MD,646801.9649808648,8.9,578734.2698686875,68067.69511217729
22202,Arlington,VA,796395.6760704747,62.6,731309.0557478191,65086.62032265554
20130,Bluemont,VA,631945.1745734601,5.2,568221.6682345574,63723.50633890275
22627,Flint Hill,VA,622200.8821419069,2.9,561686.8077592873,60514.07438261958
22152,Springfield,VA,699661.653888065,32.6,646071.7452008182,53589.90868724685
22724,Jeffersonton,VA,617008.7392692438,3.9,564528.0514441873,52480.68782505649
20855,Derwood,MD,697047.4943422123,32.2,644935.2477268581,52112.246615354205
20905,Silver Spring,MD,685094.3602990416,28.4,634138.5217242381,50955.83857480355
21770,Monrovia,MD,661316.370030236,21.0,613113.3184559778,48203.051574258134
